old_key,canonical_key,library
Pereira2025,Pereira2026,random_fields.bib
Chiles2012a,Chiles2012b,random_fields.bib
Vizcarrand,Vizcarra2007,random_fields.bib
Spodarev2022,Das2022,random_fields.bib
AdamsComrie1997,Adams1997,general.bib
Ahmed2026,Ahmed2025a,mathematics.bib
arbplusjax2026,Jones2026c,software.bib
AtkinsonHan2012,Atkinson2012,mathematics.bib
BachlEtAl2019,Bachl2019,software.bib
bell2023pyamg,Bell2022,software.bib
BergChristensenRessel1984,Berg1984,mathematics.bib
Besag1974Local,Besag1974,random_fields.bib
BesagYorkMollie1991,Besag1991,random_fields.bib
Bogachev1998GaussianMeasures,Bogachev1998,random_fields.bib
BolinKirchner2020,Bolin2020b,random_fields.bib
BolinSimasXiong2024,Bolin2024,random_fields.bib
boudaoud2026adelia,Boudaoud2026,software.bib
bradbury2018jax,Bradbury2018,software.bib
BraTS2020Tasks,CBICA2020,online.bib
CaiLiuZhou2016,Cai2016,statistics.bib
cattaneo2026jetsci,Cattaneo2026,software.bib
ChenChen2008,Chen2008,statistics.bib
ChenSimpsonYing2000,Chen2000,random_fields.bib
ChristenFox2005,Christen2005,statistics.bib
DalangSanzSole2026,Dalang2026,random_fields.bib
Danaher2014JGL,Danaher2014,random_fields.bib
data77_2026,Jones2026f,software.bib
DeOliveira1997,deOliveira1997,random_fields.bib
dodge2026graphgp,Dodge2026,random_fields.bib
DoleraFavaroGiordano2024,Dolera2024a,statistics.bib
DunfordSchwartz1958,Dunford1958,mathematics.bib
durrande2019banded,Durrande2019,computational.bib
DuZhangMandrekar2009,Du2009,random_fields.bib
Eckle2024,Eckle2026,random_fields.bib
EmeryAlegria2022,Emery2022d,random_fields.bib
FangBhadra2025,Fang2025,random_fields.bib
FoygelDrton2010,Foygel2010,random_fields.bib
Fuentes2005b,Fuentes2006b,random_fields.bib
Fuentes2006,Fuentes2006a,random_fields.bib
GelFandnd,GelfandVilenkin1964,mathematics.bib
GelfandShilov1968,Gelfand1968,mathematics.bib
GelfandVilenkin1964Gen,GelfandVilenkin1964,mathematics.bib
GhoshalGhoshVanDerVaart2000,Ghosal2000,random_fields.bib
Guan2007,Guan2004,random_fields.bib
Hallac2017KDD,Hallac2017a,random_fields.bib
hill2025sparser,Hill2025a,computational.bib
horowitz2026fasterpm,Horowitz2026,computational.bib
INLAspacetimePackage,Krainski2026,software.bib
IwaniecKowalski2004,Iwaniec2004,mathematics.bib
johansson2017arb,Johansson2017,software.bib
KalaitzisEtAl2013Bigraphical,Kalaitzis2013,random_fields.bib
katzfuss2021general,Katzfuss2021,random_fields.bib
Kilbas2004b,Kilbas2004,mathematics.bib
KimeldorfWahba1970,Kimeldorf1970,random_fields.bib
knoll2004jacobian,Knoll2004,computational.bib
li2026jaxdae,Li2026e,software.bib
LiEtAl2019BJSS,Li2019a,random_fields.bib
liu2026jaxamg,Liu2026,software.bib
MeinshausenBuhlmann2006,Meinshausen2006,random_fields.bib
MitchellBeauchamp1988,Mitchell1988,statistics.bib
MohammadiWit2015,Mohammadi2015a,random_fields.bib
MonardNicklPaternain2019,Monard2019,random_fields.bib
NocedalWright2006,Nocedal2006,computational.bib
NualartSanz1985,Nualart1985,probability.bib
pasquale2026jfnk,Pasquale2026,computational.bib
PatiBhattacharyaCheng2015,Pati2015,random_fields.bib
Project2026,Jones2026c,software.bib
randomfields77_2026,Jones2026e,software.bib
rue2009approximate,Rue2009,random_fields.bib
RueMartinoChopin2009,Rue2009,random_fields.bib
SelfLiang1987,Self1987,statistics.bib
SimpsonPC2017,Simpson2017,random_fields.bib
SteinChiWelty2004,Stein2004,random_fields.bib
takahashi1973formation,Takahashi1973,mathematics.bib
TanseyEtAl2015VSMRF,Tansey2015a,random_fields.bib
tensorflow2015-whitepaper,Abadi2015,software.bib
toposmpljax2026,Jones2026d,software.bib
TudorViens2003,Tudor2003,random_fields.bib
ubaru2017fast,Ubaru2017,computational.bib
vanderVaart2008,vanDerVaart2008a,random_fields.bib
vanderVaartvanZanten2008AOS,vanDerVaart2008a,random_fields.bib
vanderVaartvanZanten2009AOS,vanDerVaart2009,random_fields.bib
vanek1996algebraic,Vanek1996,computational.bib
VanHala2024,Eckle2026,random_fields.bib
vecchia1988estimation,Vecchia1988,random_fields.bib
WangBayesianGlasso2012,Wang2012,random_fields.bib
Watkins2010,Watkins2007,adhoc.bib
wiersema2026jaxmg,Wiersema2026,software.bib
Yarger2023a,Yarger2025,random_fields.bib
Yuan2026,Bai2026,random_fields.bib
