Package	Version
chktex	1.7.8-1
desktop-file-utils	0.27-2build1
fonts-gfs-baskerville	1.1-6
fonts-gfs-porson	1.1-7
gdb	15.1-1ubuntu1~24.04.1
htop	3.3.0-4build1
jq	1.7.1-3ubuntu0.24.04.2
libbabeltrace1:amd64	1.5.11-3build3
libdebuginfod-common	0.190-1.1ubuntu0.1
libdebuginfod1t64:amd64	0.190-1.1ubuntu0.1
libeigen3-dev	3.4.0-4build0.1
libfile-homedir-perl	1.006-2
libfile-which-perl	1.27-2
libipt2	2.0.6-1build1
liblapacke-dev:amd64	3.12.0-3build1.1
liblapacke:amd64	3.12.0-3build1.1
libnl-genl-3-200:amd64	3.7.0-0.3build1.1
libsource-highlight-common	3.1.9-4.3build1
libsource-highlight4t64:amd64	3.1.9-4.3build1
libtmglib-dev:amd64	3.12.0-3build1.1
libtmglib3:amd64	3.12.0-3build1.1
libyaml-tiny-perl	1.74-1
net-tools	2.10-0.1ubuntu4.4
ninja-build	1.11.1-2
ripgrep	14.1.0-1
texlive-extra-utils	2023.20240207-1
texlive-lang-greek	2023.20240207-1
texlive-science	2023.20240207-1
tree	2.1.1-2ubuntu3.24.04.2
wslu	3.2.3-0ubuntu3
