Order	Package	BeforeVersion	Version	URL	SHA256
1	Rcpp	1.1.1-1.1	1.1.2	https://stat.ethz.ch/CRAN/src/contrib/Rcpp_1.1.2.tar.gz	2746cf2fb188e5f0a84dbf5c8f68915b54564ed33e5754572f174e7b32e7f4f3
2	RcppArmadillo	15.2.7-1	15.4.2-1	https://stat.ethz.ch/CRAN/src/contrib/RcppArmadillo_15.4.2-1.tar.gz	141c8da25f1e8ff1771b0a1b68d65fbdd821b6061cdd9504ff446ee65f70b801
3	expm	-	1.0-1	https://stat.ethz.ch/CRAN/src/contrib/expm_1.0-1.tar.gz	2ebd117ac56b4581f3624c7f796af6460e71c655a7b3102b0d51de1e01534e4e
4	pracma	-	2.4.6	https://stat.ethz.ch/CRAN/src/contrib/pracma_2.4.6.tar.gz	1857b831ec7da6eb651574ccdb12e1baef4c7150cbdc6380cf9fd70e60ae4552
5	BH	-	1.90.0-1	https://stat.ethz.ch/CRAN/src/contrib/BH_1.90.0-1.tar.gz	2e1fafb05938e81073561ae4892dc543ef15807e375e0ea8fa75e3ab79f0281b
6	DEoptimR	-	1.2-1	https://stat.ethz.ch/CRAN/src/contrib/DEoptimR_1.2-1.tar.gz	18540c8717c7607c0e6979b1c4e7e90d74174c1d69ed6cde595f7a764f15a2a2
7	Deriv	4.2.0	4.3.5	https://stat.ethz.ch/CRAN/src/contrib/Deriv_4.3.5.tar.gz	8a6285275e988bfe060ef62dd2e3b677f2b23934e575e59461e2499e3e66f0cd
8	Ecdat	-	0.4.7	https://stat.ethz.ch/CRAN/src/contrib/Ecdat_0.4.7.tar.gz	cd61f4de6196b74ff0c42ce8b9a6f29a90515279e4c3a686e3aa0c5913210bcc
9	FNN	-	1.1.4.1	https://stat.ethz.ch/CRAN/src/contrib/FNN_1.1.4.1.tar.gz	73d97487fd3eac8ae90f32fd439f1689b1923b5688d83fd57fd2faeea70cb854
10	Formula	1.2-5	1.2-6	https://stat.ethz.ch/CRAN/src/contrib/Formula_1.2-6.tar.gz	7e611ac371c045e100a6205d92fe5104001942673798f970290fea12e33bfd37
11	GpGp	-	1.0.0	https://stat.ethz.ch/CRAN/src/contrib/GpGp_1.0.0.tar.gz	bc9a6e351477fdb3082c178be18911e85eb44b71f923b452275fe583491fccb9
12	INLAtools	0.1.4	0.1.5	https://stat.ethz.ch/CRAN/src/contrib/INLAtools_0.1.5.tar.gz	9d11b80a3275b012aae91db92890afedc9ae721d8d04d24bc07a32aea354215e
13	KFAS	-	1.6.0	https://stat.ethz.ch/CRAN/src/contrib/KFAS_1.6.0.tar.gz	48268eb44fd548cacd93bdb16473d0869e4b87947b6c582c0fd8118bacf1e987
14	KernSmooth	2.23-26	2.23-27	https://stat.ethz.ch/CRAN/src/contrib/KernSmooth_2.23-27.tar.gz	d501066a63959bee97d1ce7c556cb90862b3261fa6fc1c3cf8e5b2cdea2cc70d
15	RANN	2.6.2	2.6.3	https://stat.ethz.ch/CRAN/src/contrib/RANN_2.6.3.tar.gz	df64fe85e4ea0431bd10a33807dca1294d665aef7d5d27ed71527ab7c6ca4b65
16	TMB	-	1.9.25	https://stat.ethz.ch/CRAN/src/contrib/TMB_1.9.25.tar.gz	cf9663b29949cd5eaccb32e11900c9e07caec7d6ac4f17cfd938317dc33acff2
17	XML	3.99-0.23	3.99-0.24	https://stat.ethz.ch/CRAN/src/contrib/XML_3.99-0.24.tar.gz	45325462fb067e99792700124322cbe10ba5f97936d54d0fb28c7dd0cb1e241d
18	bit64	4.8.2	4.8.6	https://stat.ethz.ch/CRAN/src/contrib/bit64_4.8.6.tar.gz	a5fcec17ba772a561a7375ca8fd966bdd5f20dd4e89b4dae07d7da933d554b45
19	callr	3.7.6	3.8.0	https://stat.ethz.ch/CRAN/src/contrib/callr_3.8.0.tar.gz	a16b50e41ddbbf2bac236572e3e68c4ef9c76b88faf5cf840c79524c49000b06
20	checkmate	-	2.3.4	https://stat.ethz.ch/CRAN/src/contrib/checkmate_2.3.4.tar.gz	95e1068dee07d95c5e616dfd66e622cf245821acd358a77e790118c34ebd85ca
21	class	7.3-23	7.3-24	https://stat.ethz.ch/CRAN/src/contrib/class_7.3-24.tar.gz	e8c66e57e3f4214ced6fff135a0d9b55f7bd7d6c947b219063de57b275c507e1
22	clipr	-	0.8.1	https://stat.ethz.ch/CRAN/src/contrib/clipr_0.8.1.tar.gz	06e87a9c387da33f4ce8de91d037c090b924689b5ff487d3c0c7506bd4c3f1b6
23	cluster	2.1.8.2	2.1.8.3	https://stat.ethz.ch/CRAN/src/contrib/cluster_2.1.8.3.tar.gz	e240bebe2aa85f9d9f674cd7addc3dc9023f9e4c3f462eca94e582e22a5ce2e9
24	colorspace	2.1-2	2.1-3	https://stat.ethz.ch/CRAN/src/contrib/colorspace_2.1-3.tar.gz	47858800f9eed08cbcdbadba104b6502219c6f25f339c611161b374704cd03cc
25	curl	7.1.0	8.0.0	https://stat.ethz.ch/CRAN/src/contrib/curl_8.0.0.tar.gz	5d13befc0a90eba33cfda617d7b4e0b2a271962f397256f87328c37a3abc6717
26	data.table	1.18.4	1.18.6.1	https://stat.ethz.ch/CRAN/src/contrib/data.table_1.18.6.1.tar.gz	f2846f45fbbdfe886f05fa7489314a56ae0f3352ae5bc1070b0cdd4f44ffa1f5
27	dfidx	-	0.2-0	https://stat.ethz.ch/CRAN/src/contrib/dfidx_0.2-0.tar.gz	65ba5e54515154a77410b65788f7e741bb706812d21acf2b20411c7d0e645ae0
28	diffobj	0.3.6	0.3.8	https://stat.ethz.ch/CRAN/src/contrib/diffobj_0.3.8.tar.gz	a41f93e19a5029e2eab5f2b5df10a22818ad11fa24d822a323f8e1cf7ec081d6
29	dotCall64	-	1.2	https://stat.ethz.ch/CRAN/src/contrib/dotCall64_1.2.tar.gz	aad6ab571f30d4d191a9454cee278d57b478fb49d3f7b190593f317a0e4408aa
30	evd	-	2.3-7.1	https://stat.ethz.ch/CRAN/src/contrib/evd_2.3-7.1.tar.gz	1ad134cc33b53d1240d0fdec771dbfb1dd29e329ca535c2a9f03cb35b0681b78
31	fansi	-	1.0.7	https://stat.ethz.ch/CRAN/src/contrib/fansi_1.0.7.tar.gz	32a43f073aeb5c1d31c804014b95c2cb644bb4132119fcea313838b7ea4eb792
32	fastGHQuad	-	1.0.1	https://stat.ethz.ch/CRAN/src/contrib/fastGHQuad_1.0.1.tar.gz	5cdc491b59176a628d9e814bde63e65d8ef947dce9df36ea28e2916e97b647fe
33	fftwtools	-	0.9-11	https://stat.ethz.ch/CRAN/src/contrib/fftwtools_0.9-11.tar.gz	f1f0c9a9086c7b2f72c5fb0334717cc917213a004eaef8448eab4940c9852c7f
34	gitcreds	-	0.1.2	https://stat.ethz.ch/CRAN/src/contrib/gitcreds_0.1.2.tar.gz	41c6abcca5635062b123ffb5af2794770eca5ebd97b05c5a64b24fa1c803c75d
35	gridExtra	2.3	2.3.1	https://stat.ethz.ch/CRAN/src/contrib/gridExtra_2.3.1.tar.gz	de42e501ac2c6a70bd0ffc18d7703e9b0e6b878c610df09756183c3e52445c82
36	ini	-	0.3.1	https://stat.ethz.ch/CRAN/src/contrib/ini_0.3.1.tar.gz	7b191a54019c8c52d6c2211c14878c95564154ec4865f57007953742868cd813
37	intervals	-	0.15.5	https://stat.ethz.ch/CRAN/src/contrib/intervals_0.15.5.tar.gz	11907be2c47ee4f6359055113dc0dab9ba2c35fbc743c2d52fd1ba1006c7ce5c
38	lattice	0.22-9	0.23-1	https://stat.ethz.ch/CRAN/src/contrib/lattice_0.23-1.tar.gz	34e9b2fc023582c4246959b543c331233c62118efd922bcc1ba72b4888adc590
39	coda	-	0.19-4.1	https://stat.ethz.ch/CRAN/src/contrib/coda_0.19-4.1.tar.gz	f4b451d86fbb56ff9ade043ddd6b0944368c37d0dad12d02837750ecdc708ad6
40	logger	0.4.2	0.4.3	https://stat.ethz.ch/CRAN/src/contrib/logger_0.4.3.tar.gz	30e588759d5d332cd0dd73be762475deaafae1e341424d0b4ad207b9d77259e3
41	matrixStats	-	1.5.0	https://stat.ethz.ch/CRAN/src/contrib/matrixStats_1.5.0.tar.gz	12996c5f3e6fc202a43e1087f16a71b7fa93d7e908f512542c7ee89cf95dcc15
42	mvtnorm	-	1.4-2	https://stat.ethz.ch/CRAN/src/contrib/mvtnorm_1.4-2.tar.gz	466302a08c9306d11384d85bf677893e4794541bde2991409be54e1f7b304b6e
43	nanoarrow	0.8.0	0.9.0	https://stat.ethz.ch/CRAN/src/contrib/nanoarrow_0.9.0.tar.gz	c3b6bff407f0bd57f74991ca88460723e1aacc06747ff6f1eff2fc07a6771a55
44	nlme	3.1-169	3.1-171	https://stat.ethz.ch/CRAN/src/contrib/nlme_3.1-171.tar.gz	481dc8277dd0e0f2717ffb36edfb08141621470de173894fb1153464383ba0d3
45	lme4	2.0-1	2.0-6	https://stat.ethz.ch/CRAN/src/contrib/lme4_2.0-6.tar.gz	3e503bc10626ad62804c80a82237147b1296d93c18d88946554c29075af917f7
46	nnet	7.3-20	7.3-21	https://stat.ethz.ch/CRAN/src/contrib/nnet_7.3-21.tar.gz	c3914e2b8fd2cc2df7afb60cfa106070fc43cd5b60f877f3790303fc6513895b
47	car	-	3.1-5	https://stat.ethz.ch/CRAN/src/contrib/car_3.1-5.tar.gz	27ab23cff7c5c123ffe8a2475b5a3b4d778414a28dde0a59d5cfbbefa08c99fb
48	openssl	2.4.1	2.4.2	https://stat.ethz.ch/CRAN/src/contrib/openssl_2.4.2.tar.gz	1fc030ad0a008472eac7f086666a7623bdbe6d27c5fdb07b5510f56545d2f4e7
49	optimParallel	1.0-2	1.0-3	https://stat.ethz.ch/CRAN/src/contrib/optimParallel_1.0-3.tar.gz	1c23d8edcba7f10043112acd72be788fbaa44cfedd1b02f85b29b544814d426c
50	pak	-	0.11.1	https://stat.ethz.ch/CRAN/src/contrib/pak_0.11.1.tar.gz	762ec8acc2d2ccbe5a217859c846c2de83254e3948112b437dde7a0ad5b15999
51	pbapply	1.7-4	1.7-5	https://stat.ethz.ch/CRAN/src/contrib/pbapply_1.7-5.tar.gz	1a6473e93da0f891e8dd6d967a7a93fa9a680a6f77d08f41502e8110b5ca9c68
52	pixmap	-	0.4-14	https://stat.ethz.ch/CRAN/src/contrib/pixmap_0.4-14.tar.gz	26710c931f95b89b66b50e3ee1c4b6e1ba383b8067f80b3d7de2f0d58cb9fa9e
53	prettyunits	-	1.2.0	https://stat.ethz.ch/CRAN/src/contrib/prettyunits_1.2.0.tar.gz	f059f27e2a5c82e351fe05b87ad712f7afc273c651450453f59d99af5deeacea
54	progress	-	1.2.3	https://stat.ethz.ch/CRAN/src/contrib/progress_1.2.3.tar.gz	ea2b079b894de85c3ab12088c9c52aec06432245047a961d5b4b8aa6889f9276
