Package	Version	LibPath	Priority
abind	1.4-8	/home/phili/.local/lib/R/site-library	NA
askpass	1.2.1	/home/phili/.local/lib/R/site-library	NA
backports	1.5.1	/home/phili/.local/lib/R/site-library	NA
base64enc	0.1-6	/home/phili/.local/lib/R/site-library	NA
BH	1.90.0-1	/home/phili/.local/lib/R/site-library	NA
bit	4.6.0	/home/phili/.local/lib/R/site-library	NA
bit64	4.8.6	/home/phili/.local/lib/R/site-library	NA
blob	1.3.0	/home/phili/.local/lib/R/site-library	NA
boot	1.3-32	/home/phili/.local/lib/R/site-library	recommended
brew	1.0-10	/home/phili/.local/lib/R/site-library	NA
brio	1.1.5	/home/phili/.local/lib/R/site-library	NA
broom	1.0.13	/home/phili/.local/lib/R/site-library	NA
bslib	0.12.0	/home/phili/.local/lib/R/site-library	NA
cachem	1.1.0	/home/phili/.local/lib/R/site-library	NA
callr	3.8.0	/home/phili/.local/lib/R/site-library	NA
car	3.1-5	/home/phili/.local/lib/R/site-library	NA
carData	3.0-6	/home/phili/.local/lib/R/site-library	NA
checkmate	2.3.4	/home/phili/.local/lib/R/site-library	NA
class	7.3-24	/home/phili/.local/lib/R/site-library	recommended
classInt	0.4-11	/home/phili/.local/lib/R/site-library	NA
cli	3.6.6	/home/phili/.local/lib/R/site-library	NA
clipr	0.8.1	/home/phili/.local/lib/R/site-library	NA
cluster	2.1.8.3	/home/phili/.local/lib/R/site-library	recommended
coda	0.19-4.1	/home/phili/.local/lib/R/site-library	NA
codetools	0.2-20	/home/phili/.local/lib/R/site-library	recommended
collections	0.3.12	/home/phili/.local/lib/R/site-library	NA
colorspace	2.1-3	/home/phili/.local/lib/R/site-library	NA
cols4all	0.10	/home/phili/.local/lib/R/site-library	NA
commonmark	2.0.0	/home/phili/.local/lib/R/site-library	NA
corrplot	0.95	/home/phili/.local/lib/R/site-library	NA
covr	3.6.5	/home/phili/.local/lib/R/site-library	NA
cowplot	1.2.0	/home/phili/.local/lib/R/site-library	NA
cpp11	0.5.5	/home/phili/.local/lib/R/site-library	NA
crayon	1.5.3	/home/phili/.local/lib/R/site-library	NA
crosstalk	1.2.2	/home/phili/.local/lib/R/site-library	NA
curl	8.0.0	/home/phili/.local/lib/R/site-library	NA
data.table	1.18.6.1	/home/phili/.local/lib/R/site-library	NA
DBI	1.3.0	/home/phili/.local/lib/R/site-library	NA
deldir	2.0-4	/home/phili/.local/lib/R/site-library	NA
DEoptimR	1.2-1	/home/phili/.local/lib/R/site-library	NA
Deriv	4.3.5	/home/phili/.local/lib/R/site-library	NA
desc	1.4.3	/home/phili/.local/lib/R/site-library	NA
dfidx	0.2-0	/home/phili/.local/lib/R/site-library	NA
diffobj	0.3.8	/home/phili/.local/lib/R/site-library	NA
digest	0.6.39	/home/phili/.local/lib/R/site-library	NA
DistributionUtils	0.6-2	/home/phili/.local/lib/R/site-library	NA
doBy	4.7.2	/home/phili/.local/lib/R/site-library	NA
doParallel	1.0.17	/home/phili/.local/lib/R/site-library	NA
dotCall64	1.2	/home/phili/.local/lib/R/site-library	NA
DOYPAColors	0.0.2	/home/phili/.local/lib/R/site-library	NA
dplyr	1.2.1	/home/phili/.local/lib/R/site-library	NA
e1071	1.7-17	/home/phili/.local/lib/R/site-library	NA
Ecdat	0.4.7	/home/phili/.local/lib/R/site-library	NA
ellipsis	0.3.3	/home/phili/.local/lib/R/site-library	NA
evaluate	1.0.5	/home/phili/.local/lib/R/site-library	NA
evd	2.3-7.1	/home/phili/.local/lib/R/site-library	NA
