Package	Version	Priority
abind	1.4-8	NA
armspp	0.0.3	NA
askpass	1.2.1	NA
backports	1.5.1	NA
bain	0.2.12	NA
base	4.6.1	base
base64enc	0.1-6	NA
batchmeans	1.0-4	NA
bayesm	3.1-7	NA
BDgraph	2.74	NA
Bergm	5.0.7	NA
berryFunctions	1.22.13	NA
BFpack	1.6.1	NA
BGGM	2.1.6	NA
BH	1.90.0-1	NA
bigD	0.3.1	NA
BiocGenerics	0.58.1	NA
BiocManager	1.30.27	NA
BiocVersion	3.23.1	NA
bit	4.6.0	NA
bit64	4.8.6	NA
bitops	1.0-9	NA
blob	1.3.0	NA
BMGM	0.1.1	NA
bnlearn	5.2.1	NA
boot	1.3-32	recommended
brew	1.0-10	NA
bridgesampling	1.2-1	NA
brio	1.1.5	NA
Brobdingnag	1.2-9	NA
broom	1.0.13	NA
bslib	0.12.0	NA
cachem	1.1.0	NA
callr	3.8.0	NA
camel	0.2.0	NA
car	3.1-5	NA
CARBayes	6.1.1	NA
CARBayesdata	3.0	NA
CARBayesST	4.0	NA
carData	3.0-6	NA
checkmate	2.3.4	NA
CircStats	0.2-7	NA
class	7.3-24	recommended
classInt	0.4-11	NA
cli	3.6.6	NA
clipr	0.8.1	NA
cluster	2.1.8.3	recommended
coda	0.19-4.1	NA
codetools	0.2-20	recommended
collections	0.3.12	NA
colorspace	2.1-3	NA
cols4all	0.10	NA
commonmark	2.0.0	NA
compiler	4.6.1	base
compositions	2.0-9	NA
CompQuadForm	1.4.4	NA
corpcor	1.6.10	NA
corrplot	0.95	NA
covr	3.6.5	NA
cowplot	1.2.0	NA
cpp11	0.5.5	NA
crayon	1.5.3	NA
credentials	2.0.3	NA
crosstalk	1.2.2	NA
curl	8.0.0	NA
data.table	1.18.6.1	NA
datasets	4.6.1	base
DBI	1.3.0	NA
deldir	2.0-4	NA
DEoptimR	1.2-1	NA
Deriv	4.3.5	NA
desc	1.4.3	NA
devtools	2.5.2	NA
dfidx	0.2-0	NA
DiceDesign	1.10	NA
diffobj	0.3.8	NA
diffviewer	0.1.2	NA
digest	0.6.39	NA
distributional	0.8.1	NA
DistributionUtils	0.6-2	NA
doBy	4.7.2	NA
doParallel	1.0.17	NA
dotCall64	1.2	NA
downlit	0.4.5	NA
DOYPAColors	0.0.2	NA
dplyr	1.2.1	NA
DT	0.34.0	NA
dtw	1.23-2	NA
e1071	1.7-17	NA
Ecdat	0.4.7	NA
EigenR	1.3.0	NA
ellipsis	0.3.3	NA
ergm	4.12.0	NA
evaluate	1.0.5	NA
evd	2.3-7.1	NA
expm	1.0-1	NA
fansi	1.0.7	NA
farver	2.1.2	NA
fasjem	1.2.0	NA
fastGHQuad	1.0.1	NA
fastmap	1.2.0	NA
fdrtool	1.2.18	NA
fftw	1.0-9	NA
fftwtools	0.9-11	NA
fields	17.3	NA
flare	1.8	NA
fmesher	0.8.0	NA
FNN	1.1.4.1	NA
foghorn	1.6.1	NA
fontawesome	0.5.3	NA
forcats	1.0.1	NA
foreach	1.5.2	NA
forecast	9.0.2	NA
foreign	0.8-91	recommended
Formula	1.2-6	NA
fracdiff	1.5-4	NA
FRK	2.3.2	NA
fs	2.1.0	NA
future	1.70.0	NA
future.apply	1.20.2	NA
gelnet	1.2.1	NA
GeneralizedHyperbolic	0.8-7	NA
generics	0.1.4	NA
geojsonsf	2.0.5	NA
geometries	0.2.5	NA
geometry	0.5.2	NA
geoR	1.9-6	NA
gert	2.3.1	NA
GGally	2.4.0	NA
ggnewscale	0.5.2	NA
ggOceanMaps	2.3.0	NA
ggplot2	4.0.3	NA
ggplot2movies	0.0.1	NA
ggpubr	1.0.0	NA
ggrepel	0.9.8	NA
ggridges	0.5.7	NA
ggsci	5.2.0	NA
ggsignif	0.6.4	NA
ggstats	0.14.0	NA
gh	1.6.0	NA
GIGrvg	0.8	NA
gitcreds	0.1.2	NA
glasso	1.11	NA
glmnet	5.0	NA
globals	0.19.1	NA
glue	1.8.1	NA
gmp	0.7-5.1	NA
goftest	1.2-3	NA
GPArotation	2026.8-2	NA
GpGp	1.0.0	NA
GPvecchia	0.1.8	NA
graph	1.90.0	NA
graphics	4.6.1	base
gRbase	2.0.3	NA
grDevices	4.6.1	base
grid	4.6.1	base
gridExtra	2.3.1	NA
gsl	2.1-9	NA
gstat	2.1-6	NA
gt	1.3.0	NA
gtable	0.3.6	NA
gtools	3.9.5	NA
hetGP	1.1.9	NA
hexbin	1.28.5	NA
highr	0.12	NA
highs	1.14.0-2	NA
Hmisc	5.3-0	NA
hms	1.1.4	NA
htmlTable	2.5.0	NA
htmltools	0.5.9	NA
htmlwidgets	1.6.4	NA
httpuv	1.6.17	NA
httr	1.4.8	NA
httr2	1.2.2	NA
huge	2.0.1	NA
hunspell	3.0.6	NA
HypergeoMat	4.0.3	NA
igraph	2.3.3	NA
ini	0.3.1	NA
INLA	25.10.19	NA
inlabru	2.15.0	NA
INLAspacetime	0.1.14	NA
INLAtools	0.1.5	NA
inline	0.3.21	NA
insight	1.5.3	NA
intervals	0.15.5	NA
isoband	0.3.0	NA
iterators	1.0.14	NA
jeek	1.1.1	NA
JGL	2.3.2	NA
jose	2.0.0	NA
jpeg	0.1-11	NA
jquerylib	0.1.4	NA
jsonify	1.2.3	NA
jsonlite	2.0.0	NA
juicyjuice	0.1.0	NA
