adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
aglfn	1.7+git20191031.4036a9c-2
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.14
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7
apport	2.28.3-0ubuntu0.1
apport-core-dump-handler	2.28.3-0ubuntu0.1
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-utils	2.8.3
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
autoconf	2.71-3
automake	1:1.16.5-1.3ubuntu1
autotools-dev	20220109.1
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
biber	2.19-2
binutils	2.42-4ubuntu2.10
binutils-common	2.42-4ubuntu2.10
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10
bsdextrautils	2.39.3-9ubuntu6.6
bsdutils	1:2.39.3-9ubuntu6.6
build-essential	12.10ubuntu1
byobu	6.11-0ubuntu1.1
bzip2	1.0.8-5.1ubuntu0.1
bzip2-doc	1.0.8-5.1ubuntu0.1
ca-certificates	20260601~24.04.1
ca-certificates-java	20240118
chktex	1.7.8-1
cloud-guest-utils	0.33-1
cloud-init	26.1-0ubuntu1~24.04.1
cm-super	0.3.4-17
cm-super-minimal	0.3.4-17
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
command-not-found	23.04.0
console-setup	1.226ubuntu1.1
console-setup-linux	1.226ubuntu1.1
coreutils	9.4-3ubuntu6.3
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
cups-bsd	2.4.7-1.2ubuntu7.14
cups-client	2.4.7-1.2ubuntu7.14
cups-common	2.4.7-1.2ubuntu7.14
curl	8.5.0-2ubuntu10.13
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1
dconf-gsettings-backend	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
default-jre	2:1.21-75+exp1
default-jre-headless	2:1.21-75+exp1
default-libmysqlclient-dev	1.1.0build1
desktop-file-utils	0.27-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.2
diffutils	1:3.10-1ubuntu0.1
dirmngr	2.4.4-2ubuntu17.6
distro-info	1.7build1
distro-info-data	0.72-0ubuntu0.24.04.1
dmsetup	2:1.02.185-3ubuntu3.2
doc-base	0.11.2
dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6
dvisvgm	3.2.1+ds-1build1
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
eject	2.39.3-9ubuntu6.6
epstool	3.09-4build1
ethtool	1:6.7-1build1
fakeroot	1.33-1
fdisk	2.39.3-9ubuntu6.6
file	1:5.45-3build1
findutils	4.9.0-5build1
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-adf-accanthis	0.20190904-2
fonts-adf-berenis	0.20190904-2
fonts-adf-gillius	0.20190904-2
fonts-adf-universalis	0.20190904-2
fonts-cabin	1.5-3
fonts-cantarell	0.303.1-1
fonts-clear-sans	1.00-2
fonts-comfortaa	3.001-3
fonts-comic-neue	2.51-4
fonts-croscore	20201225-2
fonts-crosextra-caladea	20200211-2
fonts-crosextra-carlito	20230309-2
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-ebgaramond-extra	0.016+git20210310.42d4f9f2-1
fonts-font-awesome	5.0.10+really4.7.0~dfsg-4.1
fonts-freefont-otf	20211204+svn4273-2
fonts-freefont-ttf	20211204+svn4273-2
fonts-gfs-artemisia	1.1-6
fonts-gfs-baskerville	1.1-6
fonts-gfs-complutum	1.1-7
fonts-gfs-didot	1.1-7
fonts-gfs-neohellenic	1.1-7
fonts-gfs-olga	1.1-6
fonts-gfs-porson	1.1-7
fonts-gfs-solomos	1.1-6
fonts-go	0~20170330-2
fonts-inter	4.0+ds-1
fonts-lato	2.015-1
fonts-linuxlibertine	5.3.0-6
fonts-lmodern	2.005-1
fonts-lobster	2.0-2.1
fonts-lobstertwo	2.0-2.1
fonts-mathjax	2.7.9+dfsg-1
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1
fonts-noto-core	20201225-2
fonts-noto-mono	20201225-2
fonts-oflb-asana-math	000.907-7build1
fonts-open-sans	1.11-2
fonts-paratype	20181108-3
fonts-roboto-slab	1.100263+20170512-2
fonts-roboto-unhinted	2:0~20170802-3
fonts-sil-andika	6.200-1
fonts-sil-charis	6.200-1
fonts-sil-gentium	20081126:1.03-4
fonts-sil-gentium-basic	1.102-1.1
fonts-sil-gentiumplus	6.200-1
fonts-sil-gentiumplus-compact	5.000-4
fonts-stix	1.1.1-5
fonts-texgyre	20180621-6
fonts-texgyre-math	20180621-6
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
fuse3	3.14.0-5build1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gawk	1:5.2.1-2ubuntu0.1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base	13.3.0-6ubuntu2~24.04.1
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gcc-14-base	14.2.0-4ubuntu2~24.04.1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gdal-data	3.8.4+dfsg-3ubuntu3
gdal-plugins	3.8.4+dfsg-3ubuntu3
gdb	15.1-1ubuntu1~24.04.1
gdisk	1.0.10-1build1
gettext-base	0.21-14ubuntu2
gfortran	4:13.2.0-7ubuntu1
gfortran-13	13.3.0-6ubuntu2~24.04.1
gfortran-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
gfortran-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gh	2.100.0
ghostscript	10.02.1~dfsg1-0ubuntu7.8
ginac-tools	1.8.7-1build2
gir1.2-freedesktop	1.80.1-1
gir1.2-freedesktop-dev	1.80.1-1
gir1.2-girepository-2.0	1.80.1-1
gir1.2-glib-2.0	2.80.0-6ubuntu3.8
gir1.2-glib-2.0-dev	2.80.0-6ubuntu3.8
gir1.2-harfbuzz-0.0	8.3.0-2build2
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.5
git	1:2.43.0-1ubuntu7.3
git-lfs	3.4.1-1ubuntu0.4
git-man	1:2.43.0-1ubuntu7.3
glpk-utils	5.0-1build2
gnupg	2.4.4-2ubuntu17.6
gnupg-l10n	2.4.4-2ubuntu17.6
gnupg-utils	2.4.4-2ubuntu17.6
gnuplot-data	6.0.0+dfsg1-1ubuntu3
gnuplot-qt	6.0.0+dfsg1-1ubuntu3
google-cloud-cli	583.0.0-0
google-cloud-cli-gke-gcloud-auth-plugin	583.0.0-0
google-cloud-cli-minikube	583.0.0-0
google-cloud-cli-skaffold	583.0.0-0
gpg	2.4.4-2ubuntu17.6
gpg-agent	2.4.4-2ubuntu17.6
gpg-wks-client	2.4.4-2ubuntu17.6
gpgconf	2.4.4-2ubuntu17.6
gpgsm	2.4.4-2ubuntu17.6
gpgv	2.4.4-2ubuntu17.6
grep	3.11-4build1
groff-base	1.23.0-3build2
gsettings-desktop-schemas	46.1-0ubuntu1
gstreamer1.0-plugins-base	1.24.2-1ubuntu0.4
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gv	1:3.7.4-2build2
