Package	Version	LibPath
armspp	0.0.3	~/.local/lib/R/replication-20260914
autoFRK	1.4.4	~/.local/lib/R/replication-20260914
bain	0.2.12	~/.local/lib/R/replication-20260914
batchmeans	1.0-4	~/.local/lib/R/replication-20260914
bayesm	3.1-7	~/.local/lib/R/replication-20260914
BDgraph	2.74	~/.local/lib/R/replication-20260914
Bergm	5.0.7	~/.local/lib/R/replication-20260914
berryFunctions	1.22.13	~/.local/lib/R/replication-20260914
BFpack	1.6.1	~/.local/lib/R/replication-20260914
BGGM	2.1.6	~/.local/lib/R/replication-20260914
bigD	0.3.1	~/.local/lib/R/replication-20260914
BiocGenerics	0.58.1	~/.local/lib/R/replication-20260914
BiocManager	1.30.27	~/.local/lib/R/replication-20260914
BiocVersion	3.23.1	~/.local/lib/R/replication-20260914
bitops	1.0-9	~/.local/lib/R/replication-20260914
BMGM	0.1.1	~/.local/lib/R/replication-20260914
bnlearn	5.2.1	~/.local/lib/R/replication-20260914
bridgesampling	1.2-1	~/.local/lib/R/replication-20260914
Brobdingnag	1.2-9	~/.local/lib/R/replication-20260914
camel	0.2.0	~/.local/lib/R/replication-20260914
CARBayes	6.1.1	~/.local/lib/R/replication-20260914
CARBayesdata	3.0	~/.local/lib/R/replication-20260914
CARBayesST	4.0	~/.local/lib/R/replication-20260914
CircStats	0.2-7	~/.local/lib/R/replication-20260914
clarabel	0.11.3	~/.local/lib/R/replication-20260914
compositions	2.0-9	~/.local/lib/R/replication-20260914
CompQuadForm	1.4.4	~/.local/lib/R/replication-20260914
config	0.3.2	~/.local/lib/R/replication-20260914
corpcor	1.6.10	~/.local/lib/R/replication-20260914
covr	3.6.5	~/.local/lib/R/replication-20260914
credentials	2.0.3	~/.local/lib/R/replication-20260914
CVXR	1.9.2	~/.local/lib/R/replication-20260914
deepspat	0.3.2	~/.local/lib/R/replication-20260914
devtools	2.5.2	~/.local/lib/R/replication-20260914
DiceDesign	1.10	~/.local/lib/R/replication-20260914
diffviewer	0.1.2	~/.local/lib/R/replication-20260914
distributional	0.8.1	~/.local/lib/R/replication-20260914
doParallel	1.0.17	~/.local/lib/R/replication-20260914
downlit	0.4.5	~/.local/lib/R/replication-20260914
DOYPAColors	0.0.2	~/.local/lib/R/replication-20260914
DT	0.34.0	~/.local/lib/R/replication-20260914
dtw	1.23-2	~/.local/lib/R/replication-20260914
EigenR	1.3.0	~/.local/lib/R/replication-20260914
ergm	4.12.0	~/.local/lib/R/replication-20260914
fasjem	1.2.0	~/.local/lib/R/replication-20260914
fdrtool	1.2.18	~/.local/lib/R/replication-20260914
fftw	1.0-9	~/.local/lib/R/replication-20260914
filehash	2.4-6	~/.local/lib/R/replication-20260914
filehashSQLite	0.2-7	~/.local/lib/R/replication-20260914
filematrix	1.3	~/.local/lib/R/replication-20260914
flare	1.8	~/.local/lib/R/replication-20260914
foghorn	1.6.1	~/.local/lib/R/replication-20260914
forcats	1.0.1	~/.local/lib/R/replication-20260914
future	1.70.0	~/.local/lib/R/replication-20260914
future.apply	1.20.2	~/.local/lib/R/replication-20260914
gelnet	1.2.1	~/.local/lib/R/replication-20260914
geojsonsf	2.0.5	~/.local/lib/R/replication-20260914
geometry	0.5.2	~/.local/lib/R/replication-20260914
geoR	1.9-6	~/.local/lib/R/replication-20260914
gert	2.3.1	~/.local/lib/R/replication-20260914
GGally	2.4.0	~/.local/lib/R/replication-20260914
ggnewscale	0.5.2	~/.local/lib/R/replication-20260914
ggOceanMaps	2.3.0	~/.local/lib/R/replication-20260914
ggplot2movies	0.0.1	~/.local/lib/R/replication-20260914
ggridges	0.5.7	~/.local/lib/R/replication-20260914
ggstats	0.14.0	~/.local/lib/R/replication-20260914
gh	1.6.0	~/.local/lib/R/replication-20260914
GIGrvg	0.8	~/.local/lib/R/replication-20260914
glasso	1.11	~/.local/lib/R/replication-20260914
glmnet	5.0	~/.local/lib/R/replication-20260914
globals	0.19.1	~/.local/lib/R/replication-20260914
gmp	0.7-5.1	~/.local/lib/R/replication-20260914
GPArotation	2026.8-2	~/.local/lib/R/replication-20260914
GPvecchia	0.1.8	~/.local/lib/R/replication-20260914
graph	1.90.0	~/.local/lib/R/replication-20260914
gRbase	2.0.3	~/.local/lib/R/replication-20260914
gsl	2.1-9	~/.local/lib/R/replication-20260914
gt	1.3.0	~/.local/lib/R/replication-20260914
gtools	3.9.5	~/.local/lib/R/replication-20260914
here	1.0.2	~/.local/lib/R/replication-20260914
hetGP	1.1.9	~/.local/lib/R/replication-20260914
hexbin	1.28.5	~/.local/lib/R/replication-20260914
highs	1.14.0-2	~/.local/lib/R/replication-20260914
httpuv	1.6.17	~/.local/lib/R/replication-20260914
httr	1.4.8	~/.local/lib/R/replication-20260914
httr2	1.2.2	~/.local/lib/R/replication-20260914
huge	2.0.1	~/.local/lib/R/replication-20260914
hunspell	3.0.6	~/.local/lib/R/replication-20260914
HypergeoMat	4.0.3	~/.local/lib/R/replication-20260914
inline	0.3.21	~/.local/lib/R/replication-20260914
insight	1.5.3	~/.local/lib/R/replication-20260914
jeek	1.1.1	~/.local/lib/R/replication-20260914
JGL	2.3.2	~/.local/lib/R/replication-20260914
jose	2.0.0	~/.local/lib/R/replication-20260914
jpeg	0.1-11	~/.local/lib/R/replication-20260914
juicyjuice	0.1.0	~/.local/lib/R/replication-20260914
JuliaConnectoR	1.1.5	~/.local/lib/R/replication-20260914
keras	2.16.1	~/.local/lib/R/replication-20260914
laGP	1.5-10	~/.local/lib/R/replication-20260914
LaplacesDemon	16.1.8	~/.local/lib/R/replication-20260914
lavaan	0.7-2	~/.local/lib/R/replication-20260914
leafem	0.2.5	~/.local/lib/R/replication-20260914
leafgl	0.2.4	~/.local/lib/R/replication-20260914
leaflegend	1.2.8	~/.local/lib/R/replication-20260914
leaflet	2.2.3	~/.local/lib/R/replication-20260914
leafpop	0.1.0	~/.local/lib/R/replication-20260914
leafsync	0.1.0	~/.local/lib/R/replication-20260914
LearnBayes	2.15.2	~/.local/lib/R/replication-20260914
listenv	0.10.1	~/.local/lib/R/replication-20260914
loggle	1.0	~/.local/lib/R/replication-20260914
logspline	2.1.22	~/.local/lib/R/replication-20260914
loo	2.10.1	~/.local/lib/R/replication-20260914
lpSolveAPI	5.5.2.0-17.15	~/.local/lib/R/replication-20260914
lwgeom	0.2-16	~/.local/lib/R/replication-20260914
mapdata	2.3.1	~/.local/lib/R/replication-20260914
mapproj	1.2.12	~/.local/lib/R/replication-20260914
maptiles	0.11.0	~/.local/lib/R/replication-20260914
maptree	1.4-9	~/.local/lib/R/replication-20260914
mapview	2.11.4	~/.local/lib/R/replication-20260914
marginaleffects	0.32.0	~/.local/lib/R/replication-20260914
matrixcalc	1.0-6	~/.local/lib/R/replication-20260914
mcmc	0.9-8	~/.local/lib/R/replication-20260914
MCMCpack	1.7-1	~/.local/lib/R/replication-20260914
mco	1.17	~/.local/lib/R/replication-20260914
metaBMA	0.6.9	~/.local/lib/R/replication-20260914
MetricGraph	1.6.0	~/.local/lib/R/replication-20260914
mgm	1.2-15	~/.local/lib/R/replication-20260914
micsr	0.1-5	~/.local/lib/R/replication-20260914
miniUI	0.1.2	~/.local/lib/R/replication-20260914
mlogit	2.0-0	~/.local/lib/R/replication-20260914
multcomp	1.4-30	~/.local/lib/R/replication-20260914
munsell	0.5.1	~/.local/lib/R/replication-20260914
mvnfast	0.2.8	~/.local/lib/R/replication-20260914
network	1.20.0	~/.local/lib/R/replication-20260914
ngspatial	1.2-2	~/.local/lib/R/replication-20260914
odbc	1.7.0	~/.local/lib/R/replication-20260914
osqp	1.0.0	~/.local/lib/R/replication-20260914
packrat	0.9.3	~/.local/lib/R/replication-20260914
parallelly	1.47.0	~/.local/lib/R/replication-20260914
patchwork	1.3.2	~/.local/lib/R/replication-20260914
pbivnorm	0.6.0	~/.local/lib/R/replication-20260914
pcaPP	2.0-5	~/.local/lib/R/replication-20260914
pkgdown	2.2.0	~/.local/lib/R/replication-20260914
PKI	0.1-15	~/.local/lib/R/replication-20260914
posterior	1.7.0	~/.local/lib/R/replication-20260914
pROC	1.19.0.1	~/.local/lib/R/replication-20260914
profvis	0.4.0	~/.local/lib/R/replication-20260914
psych	2.6.5	~/.local/lib/R/replication-20260914
qgraph	1.10.1	~/.local/lib/R/replication-20260914
QRM	0.4-35	~/.local/lib/R/replication-20260914
quadprog	1.5-8	~/.local/lib/R/replication-20260914
quarto	1.5.1	~/.local/lib/R/replication-20260914
QuickJSR	1.11.0	~/.local/lib/R/replication-20260914
ragg	1.5.2	~/.local/lib/R/replication-20260914
rags2ridges	2.2.9	~/.local/lib/R/replication-20260914
RApiSerialize	0.1.4	~/.local/lib/R/replication-20260914
raster	3.6-32	~/.local/lib/R/replication-20260914
RBGL	1.88.0	~/.local/lib/R/replication-20260914
RcppDist	0.1.1.1	~/.local/lib/R/replication-20260914
RcppParallel	6.2.0	~/.local/lib/R/replication-20260914
RcppTOML	0.2.3	~/.local/lib/R/replication-20260914
reactable	0.4.5	~/.local/lib/R/replication-20260914
reactR	0.6.1	~/.local/lib/R/replication-20260914
remotes	2.5.0	~/.local/lib/R/replication-20260914
renv	1.2.3	~/.local/lib/R/replication-20260914
reshape	0.8.10	~/.local/lib/R/replication-20260914
reticulate	1.47.0	~/.local/lib/R/replication-20260914
rgl	1.3.36	~/.local/lib/R/replication-20260914
Rglpk	0.6-5.1	~/.local/lib/R/replication-20260914
rle	0.10.0	~/.local/lib/R/replication-20260914
rnaturalearth	1.2.0	~/.local/lib/R/replication-20260914
rnaturalearthdata	1.0.0	~/.local/lib/R/replication-20260914
RPostgres	1.4.10	~/.local/lib/R/replication-20260914
rsconnect	1.8.0	~/.local/lib/R/replication-20260914
RSQLite	3.53.1	~/.local/lib/R/replication-20260914
rstan	2.32.7	~/.local/lib/R/replication-20260914
rstantools	2.7.1	~/.local/lib/R/replication-20260914
rticles	0.27	~/.local/lib/R/replication-20260914
rvest	1.0.5	~/.local/lib/R/replication-20260914
sandwich	3.1-1	~/.local/lib/R/replication-20260914
satellite	1.0.6	~/.local/lib/R/replication-20260914
scs	3.2.7	~/.local/lib/R/replication-20260914
selectr	0.5-1	~/.local/lib/R/replication-20260914
servr	0.32	~/.local/lib/R/replication-20260914
sfsmisc	1.1-25	~/.local/lib/R/replication-20260914
shape	1.4.6.1	~/.local/lib/R/replication-20260914
shiny	1.13.0	~/.local/lib/R/replication-20260914
SILGGM	1.0.0	~/.local/lib/R/replication-20260914
slam	0.1-56	~/.local/lib/R/replication-20260914
sm	2.2-6.0	~/.local/lib/R/replication-20260914
smoothr	1.3.0	~/.local/lib/R/replication-20260914
