Package	Version	Priority
R.cache	0.17.0	NA
R.methodsS3	1.8.2	NA
R.oo	1.27.1	NA
R.utils	2.13.0	NA
R6	2.6.1	NA
backports	1.5.1	NA
brew	1.0-10	NA
callr	3.8.0	NA
cli	3.6.6	NA
collections	0.3.12	NA
commonmark	2.0.0	NA
cpp11	0.5.5	NA
desc	1.4.3	NA
digest	0.6.39	NA
evaluate	1.0.5	NA
fs	2.1.0	NA
glue	1.8.1	NA
highr	0.12	NA
jsonlite	2.0.0	NA
knitr	1.52	NA
languageserver	0.3.18	NA
lifecycle	1.0.5	NA
lintr	3.4.0	NA
magrittr	2.0.5	NA
otel	0.2.0	NA
pkgbuild	1.4.8	NA
pkgload	1.5.3	NA
processx	3.9.0	NA
ps	1.9.3	NA
purrr	1.2.2	NA
rdtools	0.1.0	NA
rex	1.2.2	NA
rlang	1.3.0	NA
roxygen2	8.1.0	NA
rprojroot	2.1.1	NA
stringi	1.8.9	NA
styler	1.11.0	NA
vctrs	0.7.3	NA
withr	3.0.3	NA
xfun	0.60	NA
xml2	1.6.0	NA
xmlparsedata	1.0.5	NA
yaml	2.3.12	NA
KernSmooth	2.23-26	recommended
MASS	7.3-65	recommended
Matrix	1.7-5	recommended
base	4.6.1	base
boot	1.3-32	recommended
class	7.3-23	recommended
cluster	2.1.8.2	recommended
codetools	0.2-20	recommended
compiler	4.6.1	base
datasets	4.6.1	base
foreign	0.8-91	recommended
grDevices	4.6.1	base
graphics	4.6.1	base
grid	4.6.1	base
lattice	0.22-9	recommended
methods	4.6.1	base
mgcv	1.9-4	recommended
nlme	3.1-169	recommended
nnet	7.3-20	recommended
parallel	4.6.1	base
rpart	4.1.27	recommended
spatial	7.3-18	recommended
splines	4.6.1	base
stats	4.6.1	base
stats4	4.6.1	base
survival	3.8-6	recommended
tcltk	4.6.1	base
tools	4.6.1	base
translations	4.6.1	NA
utils	4.6.1	base
