Package	Version	Priority
abind	1.4-8	NA
askpass	1.2.1	NA
backports	1.5.1	NA
base64enc	0.1-6	NA
BH	1.90.0-1	NA
bit	4.6.0	NA
bit64	4.8.6	NA
blob	1.3.0	NA
brew	1.0-10	NA
brio	1.1.5	NA
broom	1.0.13	NA
bslib	0.12.0	NA
cachem	1.1.0	NA
callr	3.8.0	NA
car	3.1-5	NA
carData	3.0-6	NA
checkmate	2.3.4	NA
classInt	0.4-11	NA
cli	3.6.6	NA
clipr	0.8.1	NA
cluster	2.1.8.3	recommended
coda	0.19-4.1	NA
collections	0.3.12	NA
colorspace	2.1-3	NA
cols4all	0.10	NA
commonmark	2.0.0	NA
corrplot	0.95	NA
cowplot	1.2.0	NA
cpp11	0.5.5	NA
crayon	1.5.3	NA
crosstalk	1.2.2	NA
curl	8.0.0	NA
data.table	1.18.6.1	NA
DBI	1.3.0	NA
deldir	2.0-4	NA
DEoptimR	1.2-1	NA
Deriv	4.3.5	NA
desc	1.4.3	NA
dfidx	0.2-0	NA
diffobj	0.3.8	NA
digest	0.6.39	NA
DistributionUtils	0.6-2	NA
doBy	4.7.2	NA
dotCall64	1.2	NA
dplyr	1.2.1	NA
e1071	1.7-17	NA
Ecdat	0.4.7	NA
ellipsis	0.3.3	NA
evaluate	1.0.5	NA
evd	2.3-7.1	NA
expm	1.0-1	NA
fansi	1.0.7	NA
farver	2.1.2	NA
fastGHQuad	1.0.1	NA
fastmap	1.2.0	NA
fftwtools	0.9-11	NA
fields	17.3	NA
fmesher	0.8.0	NA
FNN	1.1.4.1	NA
fontawesome	0.5.3	NA
foreach	1.5.2	NA
forecast	9.0.2	NA
Formula	1.2-6	NA
fracdiff	1.5-4	NA
FRK	2.3.2	NA
fs	2.1.0	NA
GeneralizedHyperbolic	0.8-7	NA
generics	0.1.4	NA
geometries	0.2.5	NA
ggplot2	4.0.3	NA
ggpubr	1.0.0	NA
ggrepel	0.9.8	NA
ggsci	5.2.0	NA
ggsignif	0.6.4	NA
gitcreds	0.1.2	NA
glue	1.8.1	NA
goftest	1.2-3	NA
GpGp	1.0.0	NA
gridExtra	2.3.1	NA
gstat	2.1-6	NA
gtable	0.3.6	NA
highr	0.12	NA
Hmisc	5.3-0	NA
hms	1.1.4	NA
htmlTable	2.5.0	NA
htmltools	0.5.9	NA
htmlwidgets	1.6.4	NA
igraph	2.3.3	NA
ini	0.3.1	NA
INLA	25.10.19	NA
inlabru	2.15.0	NA
INLAspacetime	0.1.14	NA
INLAtools	0.1.5	NA
intervals	0.15.5	NA
isoband	0.3.0	NA
iterators	1.0.14	NA
jquerylib	0.1.4	NA
jsonify	1.2.3	NA
jsonlite	2.0.0	NA
KFAS	1.6.0	NA
knitr	1.52	NA
labeling	0.4.3	NA
languageserver	0.3.18	NA
later	1.4.8	NA
LatticeKrig	9.4.1	NA
lazyeval	0.2.3	NA
leaflet.providers	3.0.0	NA
lifecycle	1.0.5	NA
linprog	0.9-6	NA
lintr	3.4.0	NA
litedown	0.11	NA
lme4	2.0-6	NA
lmtest	0.9-40	NA
logger	0.4.3	NA
lpSolve	5.6.23	NA
lubridate	1.9.5	NA
magic	1.6-1	NA
magrittr	2.0.5	NA
maps	3.4.3	NA
markdown	2.0	NA
MatrixModels	0.5-4	NA
matrixStats	1.5.0	NA
memoise	2.0.1	NA
microbenchmark	1.5.0	NA
mime	0.13	NA
minqa	1.2.8	NA
mnormt	2.1.2	NA
modelr	0.1.11	NA
mvtnorm	1.4-2	NA
nanoarrow	0.9.0	NA
nloptr	2.2.1	NA
numDeriv	2016.8-1.1	NA
openssl	2.4.2	NA
optimParallel	1.0-3	NA
otel	0.2.0	NA
pak	0.11.1	NA
pbapply	1.7-5	NA
pbkrtest	0.5.5	NA
pillar	1.11.1	NA
pixmap	0.4-14	NA
pkgbuild	1.4.8	NA
pkgconfig	2.0.3	NA
pkgload	1.5.3	NA
plyr	1.8.9	NA
png	0.1-9	NA
polyclip	1.10-7	NA
polynom	1.4-1	NA
pool	1.0.5	NA
pracma	2.4.6	NA
praise	1.0.0	NA
prettyunits	1.2.0	NA
processx	3.9.0	NA
progress	1.2.3	NA
promises	1.5.0	NA
proxy	0.4-29	NA
ps	1.9.3	NA
purrr	1.2.2	NA
quantreg	6.1	NA
R.cache	0.17.0	NA
R.methodsS3	1.8.2	NA
R.oo	1.27.1	NA
R.utils	2.13.0	NA
R6	2.6.1	NA
RANN	2.6.3	NA
rapidjsonr	1.2.1	NA
rappdirs	0.3.4	NA
rbibutils	2.4.1	NA
rcmdcheck	1.4.0	NA
RColorBrewer	1.1-3	NA
Rcpp	1.1.2	NA
RcppArmadillo	15.4.2-1	NA
RcppEigen	0.3.4.0.2	NA
RcppProgress	0.4.2	NA
Rdpack	2.6.6	NA
rdtools	0.1.0	NA
reformulas	0.4.4	NA
reshape2	1.4.5	NA
rex	1.2.2	NA
rlang	1.3.0	NA
rmarkdown	2.32	NA
robustbase	0.99-7	NA
roxygen2	8.1.0	NA
RPostgreSQL	0.7-8	NA
rprojroot	2.1.1	NA
rSPDE	2.6.0	NA
RSpectra	0.16-2	NA
rstatix	1.1.0	NA
rstudioapi	0.19.0	NA
rversions	3.0.0	NA
s2	1.1.12	NA
S7	0.2.2	NA
sass	0.4.10	NA
scales	1.4.0	NA
sessioninfo	1.2.4	NA
sf	1.1-2	NA
sfheaders	0.4.5	NA
sftime	0.3.2	NA
sourcetools	0.1.7-2	NA
sp	2.2-3	NA
spacesXYZ	1.6-0	NA
spacetime	1.3-4	NA
spam	2.11-4	NA
spam64	2.11-4	NA
sparseinv	0.1.4	NA
SparseM	1.84-2	NA
spatial	7.3-19	recommended
spatstat.data	3.1-9	NA
spatstat.sparse	3.2-0	NA
spatstat.univar	3.2-0	NA
spatstat.utils	3.2-4	NA
spData	2.3.5	NA
spectralGP	1.3.4	NA
splancs	2.01-45	NA
stars	0.7-3	NA
statmod	1.5.2	NA
stringdist	0.9.17	NA
stringi	1.8.9	NA
stringr	1.6.0	NA
styler	1.11.0	NA
sys	3.4.3	NA
systemfonts	1.3.2	NA
tensor	1.5.1	NA
tensorA	0.36.2.1	NA
terra	1.9-46	NA
textshaping	1.0.5	NA
tibble	3.3.1	NA
tidyr	1.3.2	NA
tidyselect	1.2.1	NA
timechange	0.4.0	NA
timeDate	4052.112	NA
tinytex	0.60	NA
TMB	1.9.25	NA
tzdb	0.5.0	NA
units	1.0-1	NA
urca	1.3-4	NA
urlchecker	2.0.0	NA
utf8	1.2.6	NA
uuid	1.2-2	NA
vctrs	0.7.3	NA
viridisLite	0.4.3	NA
waldo	0.6.2	NA
whisker	0.4.1	NA
withr	3.0.3	NA
wk	0.9.5	NA
xfun	0.60	NA
XML	3.99-0.24	NA
xml2	1.6.0	NA
xmlparsedata	1.0.5	NA
xopen	1.0.1	NA
xtable	1.8-8	NA
xts	0.14.2	NA
yaml	2.3.12	NA
yyjsonr	0.1.22	NA
zip	3.0.2	NA
zoo	1.9-0	NA
littler	0.3.23	NA
base	4.6.1	base
boot	1.3-32	recommended
class	7.3-24	recommended
cluster	2.1.8.2	recommended
codetools	0.2-20	recommended
compiler	4.6.1	base
datasets	4.6.1	base
foreign	0.8-91	recommended
graphics	4.6.1	base
grDevices	4.6.1	base
grid	4.6.1	base
KernSmooth	2.23-27	recommended
lattice	0.23-1	recommended
MASS	7.3-66	recommended
Matrix	1.7-6	recommended
methods	4.6.1	base
mgcv	1.9-4	recommended
nlme	3.1-171	recommended
nnet	7.3-21	recommended
parallel	4.6.1	base
rpart	4.1.27	recommended
spatial	7.3-17	recommended
splines	4.6.1	base
stats	4.6.1	base
stats4	4.6.1	base
survival	3.8-11	recommended
tcltk	4.6.1	base
tools	4.6.1	base
utils	4.6.1	base
